date,low,high,average,open,close,daily_avg
2024-12-27,5.407,5.957,5.599,5.755,5.443,5.682
2024-12-28,5.206,5.613,5.486,5.443,5.529,5.4095
2024-12-29,5.187,5.558,5.3915,5.529,5.254,5.3725000000000005
2024-12-30,5.044,5.414,5.166499999999999,5.254,5.079,5.228999999999999
2024-12-31,4.886,5.258,5.0375,5.079,4.996,5.072
2025-01-01,4.92,5.3,5.106,4.996,5.216,5.109999999999999
2025-01-02,5.216,5.488,5.3100000000000005,5.216,5.404,5.352
2025-01-03,5.305,5.82,5.593,5.404,5.782,5.5625
2025-01-04,5.606,5.886,5.7705,5.782,5.759,5.746
2025-01-05,5.561,5.845,5.7725,5.759,5.786,5.702999999999999
2025-01-06,5.667,6.081,5.8355,5.786,5.885,5.8740000000000006
2025-01-07,5.175,5.943,5.547,5.885,5.209,5.558999999999999
2025-01-08,4.582,5.302,5.045,5.209,4.881,4.942
2025-01-09,4.475,4.94,4.734,4.881,4.587,4.7075
2025-01-10,4.526,4.843,4.6315,4.587,4.676,4.6845
2025-01-11,4.571,4.789,4.682,4.676,4.688,4.68
2025-01-12,4.495,4.72,4.634,4.688,4.58,4.6075
2025-01-13,3.897,4.713,4.4355,4.58,4.291,4.305
2025-01-14,4.248,4.491,4.359,4.291,4.427,4.3695
2025-01-15,4.233,4.765,4.593999999999999,4.427,4.761,4.499
2025-01-16,4.456,4.791,4.6899999999999995,4.761,4.619,4.6235
2025-01-17,4.613,5.118,4.835,4.619,5.051,4.865500000000001
2025-01-18,4.492,5.187,4.823,5.051,4.595,4.8395
2025-01-19,4.075,4.782,4.3805,4.595,4.166,4.4285
2025-01-20,3.98,4.615,4.134,4.166,4.102,4.2975
2025-01-21,3.921,4.352,4.176,4.102,4.25,4.1365
2025-01-22,3.972,4.288,4.125500000000001,4.25,4.001,4.13
2025-01-23,3.848,4.153,4.02,4.001,4.039,4.0005
2025-01-24,3.781,4.16,3.9219999999999997,4.039,3.805,3.9705000000000004
2025-01-25,3.728,3.969,3.8515,3.805,3.898,3.8485
2025-01-26,3.733,3.986,3.8185000000000002,3.898,3.739,3.8595
2025-01-27,3.422,3.895,3.7755,3.739,3.812,3.6585
2025-01-28,3.363,3.854,3.6075,3.812,3.403,3.6085000000000003
2025-01-29,3.39,3.688,3.4475,3.403,3.492,3.539
2025-01-30,3.459,3.731,3.5694999999999997,3.492,3.647,3.5949999999999998
2025-01-31,3.58,3.993,3.706,3.647,3.765,3.7865
2025-02-01,3.291,3.811,3.5385,3.765,3.312,3.551
2025-02-02,2.77,3.417,3.1254999999999997,3.312,2.939,3.0934999999999997
